choicerandseed,const_alg,cost,exp_type,failrandseed,fprob,npublishers,nsubscribers,ntrees,oracle,overlap,randseed,reach,run,select_policy,topo,treatment
667984480798907347,red-blue,592.7,networkx,8853665121027057643,0.1,200,400,4,0.775,7984,-1426273912677557294,0.6675,25,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,587.8,networkx,8853665121027057643,0.1,200,400,4,0.785,7844,-1426273912677557294,0.56375,26,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,584.85,networkx,8853665121027057643,0.1,200,400,4,0.78,7821,-1426273912677557294,0.616875,27,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,594.85,networkx,8853665121027057643,0.1,200,400,4,0.0,7957,-1426273912677557294,0.0,28,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,587.75,networkx,8853665121027057643,0.1,200,400,4,0.7825,7855,-1426273912677557294,0.733125,29,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,590.8,networkx,8853665121027057643,0.1,200,400,4,0.82,7930,-1426273912677557294,0.5075,30,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,587.3,networkx,8853665121027057643,0.1,200,400,4,0.8225,7884,-1426273912677557294,0.69,31,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,589.0,networkx,8853665121027057643,0.1,200,400,4,0.74,7948,-1426273912677557294,0.62375,32,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,586.45,networkx,8853665121027057643,0.1,200,400,4,0.8,7957,-1426273912677557294,0.589375,33,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,592.5,networkx,8853665121027057643,0.1,200,400,4,0.0,8004,-1426273912677557294,0.0,34,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,580.65,networkx,8853665121027057643,0.1,200,400,4,0.7975,7857,-1426273912677557294,0.62375,35,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,585.65,networkx,8853665121027057643,0.1,200,400,4,0.725,7863,-1426273912677557294,0.6375,36,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,587.45,networkx,8853665121027057643,0.1,200,400,4,0.0,7931,-1426273912677557294,0.0,37,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,589.6,networkx,8853665121027057643,0.1,200,400,4,0.815,7940,-1426273912677557294,0.758125,38,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,586.2,networkx,8853665121027057643,0.1,200,400,4,0.775,7916,-1426273912677557294,0.24625,39,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,594.55,networkx,8853665121027057643,0.1,200,400,4,0.78,7961,-1426273912677557294,0.589375,40,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,599.45,networkx,8853665121027057643,0.1,200,400,4,0.7325,7997,-1426273912677557294,0.65125,41,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,589.8,networkx,8853665121027057643,0.1,200,400,4,0.7475,7946,-1426273912677557294,0.300625,42,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,594.3,networkx,8853665121027057643,0.1,200,400,4,0.8125,7922,-1426273912677557294,0.370625,43,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
